Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
1998-09-22,261.0,261.0,261.0,262.2,261.0,122700.0,383.0,31987640.0,,,9.4,0.0
1998-09-23,262.8,273.0,262.8,269.0,268.64983642312,91700.0,490.0,24635190.0,,,10.2,6.2
1998-10-14,227.0,242.9,227.0,241.8,235.36950704225,142000.0,766.0,33422470.0,,,15.9,14.8
1998-10-15,237.0,246.8,236.1,242.2,241.58814192344,107100.0,520.0,25874090.0,,,10.7,5.2
1998-10-16,243.2,246.8,240.0,242.2,242.27129120879,72800.0,316.0,17637350.0,,,6.8,-1.0
1998-10-19,261.5,261.5,259.0,261.4,261.25423728814,23600.0,126.0,6165600.0,,,2.5,-0.1
1998-10-20,260.5,260.5,247.0,251.5,251.1710960961,133200.0,531.0,33455990.0,,,13.5,-9.0
1998-10-23,248.1,258.0,245.0,253.4,252.13887591703,132766.0,491.0,33475470.0,,,13.0,5.3
1998-10-29,263.0,263.0,255.0,258.4,259.58986828774,98700.0,184.0,25621520.0,,,8.0,-4.6
1998-10-30,258.8,262.5,254.5,255.1,259.67430058556,153700.0,245.0,39911940.0,,,8.0,-3.7
1998-11-02,258.2,258.2,250.1,254.2,253.9401465798,122800.0,222.0,31183850.0,,,8.1,-4.0
1998-11-17,261.0,269.7,260.0,268.5,265.24551083591,32300.0,199.0,8567430.0,,,9.7,7.5
1998-11-18,269.8,272.0,266.6,269.3,268.59533333333,45000.0,190.0,12086790.0,,,5.4,-0.5
1998-11-24,260.6,261.8,260.1,261.1,261.02132963989,36100.0,82.0,9422870.0,,,1.7,0.5
1998-11-25,260.2,260.2,258.0,258.0,259.1271043771,11880.0,53.0,3078430.0,,,2.2,-2.2
1998-11-26,256.2,256.5,252.2,253.3,254.11184210526,15200.0,84.0,3862500.0,,,4.3,-2.9
1998-11-27,252.0,252.5,243.1,247.8,249.39100126743,78900.0,133.0,19676950.0,,,9.4,-4.2
1998-11-30,234.0,245.0,234.0,243.7,242.40099750623,80200.0,145.0,19440560.0,,,11.0,9.7
1998-12-01,247.0,247.9,231.1,235.0,239.96212244898,122500.0,301.0,29395360.0,,,16.8,-12.0
1998-12-11,242.5,248.0,240.0,246.8,242.93286999182,122300.0,192.0,29710690.0,,,8.0,4.3
1998-12-14,246.0,250.9,244.5,246.6,245.77328431373,81600.0,182.0,20055100.0,,,6.4,0.6
1998-12-15,243.5,245.4,234.3,235.5,237.71201044386,38300.0,168.0,9104370.0,,,11.1,-8.0
1998-12-23,225.0,233.5,223.1,225.7,228.98395758123,443200.0,1749.0,101485690.0,,,10.4,0.7
1998-12-24,226.0,229.0,223.5,226.0,226.0,249200.0,2.0,1130000.0,,,5.5,0.0
1998-12-28,232.0,238.9,231.0,236.6,234.59143633892,220700.0,963.0,51774330.0,,,7.9,4.6
1998-12-29,235.5,238.5,232.2,235.6,235.55670767428,170700.0,580.0,40209530.0,,,6.3,0.1
1998-12-30,237.4,243.0,235.0,238.1,239.10753246753,192500.0,794.0,46028200.0,,,8.0,0.7
1998-12-31,239.9,240.5,232.0,233.2,236.12650887574,84500.0,380.0,19952690.0,,,8.5,-6.7
1999-01-01,233.0,233.7,230.0,231.2,231.45566870333,147300.0,347.0,34093420.0,,,3.7,-1.8
1999-01-04,237.0,240.0,235.0,236.1,236.90879012127,67701.0,321.0,16038962.0,,,5.0,-0.9
